hex_id,hex_land_km2,great_britain_km2,ireland_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000803_r+001444,9.913735564386368,9.913735564386368,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001445,9.900451799516677,9.900451799516677,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001446,14.297268150058747,14.297268150058747,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001447,19.747850036872865,19.747850036872865,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001448,19.721363999198914,19.721363999198914,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001449,19.694905120048524,19.694905120048524,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001450,19.668473396564483,19.668473396564483,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001451,19.64206882585907,19.64206882585907,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001452,19.615691404884338,19.615691404884338,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001453,19.58934113054657,19.58934113054657,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001454,19.56301799949646,19.56301799949646,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001455,19.536722008590697,19.536722008590697,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001456,19.510453154411316,19.510453154411316,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001457,19.484211433483125,19.484211433483125,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001458,19.457996842201233,19.457996842201233,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001459,19.431809377082825,19.431809377082825,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
